,Name,Year,Rating,Metascore,Vote,Description,Certificate,Runtime,Genre,Director,Stars,Earning
25,Finding Dory,(2016),7.3,77        ,"230,587","
    Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",PG,97 min,"
Animation, Adventure, Comedy            ",Andrew Stanton,"['Angus MacLane', 'Ellen DeGeneres', 'Albert Brooks', ""Ed O'Neill"", 'Kaitlin Olson']",$486.30M
26,Nocturnal Animals,(2016),7.5,67        ,"225,782","
    A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",R,116 min,"
Drama, Thriller            ",Tom Ford,"['Amy Adams', 'Jake Gyllenhaal', 'Michael Shannon', 'Aaron Taylor-Johnson']",$10.64M
27,Sully,(2016),7.4,74        ,"225,644","
    The story of Chesley ""Sully"" Sullenberger (Tom Hanks), an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",PG-13,96 min,"
Biography, Drama            ",Clint Eastwood,"['Tom Hanks', 'Aaron Eckhart', 'Laura Linney', 'Valerie Mahaffey']",$125.07M
28,Star Trek Beyond,(2016),7.1,68        ,"220,906","
    The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",PG-13,122 min,"
Action, Adventure, Sci-Fi            ",Justin Lin,"['Chris Pine', 'Zachary Quinto', 'Karl Urban', 'Zoe Saldana']",$158.85M
29,The Conjuring 2,(2016),7.3,65        ,"214,828","
    Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.",R,134 min,"
Horror, Mystery, Thriller            ",James Wan,"['Vera Farmiga', 'Patrick Wilson', 'Madison Wolfe', ""Frances O'Connor""]",$102.47M
30,Don't Breathe,(2016),7.1,71        ,"208,386","
    Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",R,88 min,"
Crime, Horror, Thriller            ",Fede Alvarez,"['Stephen Lang', 'Jane Levy', 'Dylan Minnette', 'Daniel Zovatto']",$89.22M
31,Lion,(2016),8.0,69        ,"203,088","
    A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",PG-13,118 min,"
Biography, Drama            ",Garth Davis,"['Dev Patel', 'Nicole Kidman', 'Rooney Mara', 'Sunny Pawar']",$51.74M
32,Jason Bourne,(I) (2016),6.6,No metascore,"201,934","
    The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.",PG-13,123 min,"
Action, Thriller            ",Paul Greengrass,"['Matt Damon', 'Tommy Lee Jones', 'Alicia Vikander', 'Vincent Cassel']",$162.43M
33,Ghostbusters,(2016),5.2,No metascore,"198,040","
    Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",PG-13,116 min,"
Action, Comedy, Fantasy            ",Paul Feig,"['Melissa McCarthy', 'Kristen Wiig', 'Kate McKinnon', 'Leslie Jones']",$128.34M
34,Me Before You,(2016),7.4,No metascore,"196,278","
    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.",PG-13,106 min,"
Drama, Romance            ",Thea Sharrock,"['Emilia Clarke', 'Sam Claflin', 'Janet McTeer', 'Charles Dance']",$56.25M
